FL_DATE;CANCELLED;FLIGHTS;DISTANCE
2017-06-26;62;17055;864.530988
2017-06-27;53;16895;863.0561113
2017-06-28;128;16861;865.6118854
2017-06-29;56;17123;864.4676751
2017-06-30;142;17134;862.7310027
2017-07-01;185;14422;913.6722369
2017-07-02;76;14861;892.8174416
2017-07-03;42;14372;893.9782215
2017-07-04;35;14084;895.1819085
2017-07-05;106;16576;872.9780405
2017-07-06;98;16680;873.7419065
2017-07-07;132;16690;873.3437388
2017-07-08;59;14628;915.3993711
2017-07-09;56;16656;882.2661503
2017-07-10;477;16776;870.2420124
2017-07-11;176;16930;865.3922032
2017-07-12;766;16378;875.9491391
2017-07-13;337;16910;867.4109994
2017-07-14;445;16839;867.63056
2017-07-15;209;14480;916.9679558
2017-07-16;113;16593;882.8642199
2017-07-17;279;16981;867.3168247
2017-07-18;132;16989;865.2801813
2017-07-19;77;17063;866.7177519
2017-07-20;216;17014;869.7276361
2017-07-21;313;16949;870.6411588
2017-07-22;253;14417;919.7471041
2017-07-23;340;16343;886.2789574
2017-07-24;342;16902;869.5407052
2017-07-25;85;17004;865.1469066
2017-07-26;69;17057;866.5037814
2017-07-27;54;17183;867.4502124
2017-07-28;145;17120;868.289778
2017-07-29;71;14590;916.9178204
2017-07-30;18;16657;883.4420964
2017-07-31;51;17169;867.0626711
2017-08-01;63;17015;865.4938584
2017-08-02;671;16452;866.5737296
2017-08-03;705;16533;874.6555374
2017-08-04;736;16536;873.627298
2017-08-05;147;14575;917.1818182
2017-08-06;159;16533;885.6530575
2017-08-07;289;16931;870.7175595
2017-08-08;81;16976;867.0434142
2017-08-09;87;16984;868.2491757
2017-08-10;111;17078;868.6293477
2017-08-11;180;17047;868.1065877
2017-08-12;66;14640;916.030806
2017-08-13;52;16569;883.6152453
2017-08-14;122;17012;870.4721961
2017-08-15;90;16476;861.3457757
2017-08-16;87;16658;860.7318406
2017-08-17;54;16861;861.0420497
2017-08-18;377;16573;863.773487
2017-08-19;57;13975;910.4900179
2017-08-20;61;16163;877.3583493
2017-08-21;174;16733;862.7844977
2017-08-22;278;16123;854.8968554
2017-08-23;85;16549;851.9739561
2017-08-24;53;16791;855.4359478
2017-08-25;100;16764;856.3793844
2017-08-26;649;12851;906.2196716
2017-08-27;1161;14637;872.4500922
2017-08-28;1135;15443;854.8108528
2017-08-29;1087;15055;847.0041182
2017-08-30;1114;15280;850.0159686
2017-08-31;976;15631;855.6702066
2017-09-01;839;15777;855.3601445
2017-09-02;430;11913;903.8729959
2017-09-03;280;12271;899.1756173
2017-09-04;404;15428;860.7602411
2017-09-05;485;15337;842.5480211
2017-09-06;228;14791;834.9732946
2017-09-07;251;15306;837.203123
2017-09-08;600;15001;831.8196787
2017-09-09;1476;10998;865.3284233
2017-09-10;2167;13442;834.4375093
2017-09-11;3182;13258;836.071504
2017-09-12;1476;14192;817.4778749
2017-09-13;663;15239;827.7012927
2017-09-14;417;16020;841.6412609
2017-09-15;221;16207;839.396989
2017-09-16;170;12501;879.9961603
2017-09-17;81;15497;853.6758082
2017-09-18;116;16292;839.9802971
2017-09-19;160;15490;827.2941898
2017-09-20;245;15646;831.0869232
2017-09-21;166;16212;835.9586109
2017-09-22;164;16218;834.8798865
2017-09-23;186;12474;875.6310726
2017-09-24;159;15407;850.2218472
2017-09-25;143;16271;835.9674882
2017-09-26;139;15504;825.1464783
2017-09-27;139;15733;829.7769021
2017-09-28;128;16283;838.3186759
2017-09-29;113;16271;837.5572491
2017-09-30;115;12405;881.4161225
2017-10-01;120;15325;852.4878303
2017-10-02;136;16262;837.2101218
2017-10-03;153;15479;826.0147296
2017-10-04;102;15818;829.7725376
2017-10-05;31;16379;837.2055681
2017-10-06;30;16294;837.6153185
2017-10-07;59;12519;881.9966451
2017-10-08;107;15243;852.8152595
2017-10-09;188;16136;839.5212568
2017-10-10;58;15673;828.1859886
2017-10-11;167;15812;834.8685808
2017-10-12;161;16222;840.8618543
2017-10-13;145;16215;841.293062
2017-10-14;195;12434;888.0987615
2017-10-15;74;15475;855.3983199
2017-10-16;61;16321;837.9853563
2017-10-17;93;15696;829.7912844
2017-10-18;61;15932;833.5397314
2017-10-19;148;16250;841.1715077
2017-10-20;79;16305;841.3253603
2017-10-21;32;12599;883.6355266
2017-10-22;30;15471;853.9352337
2017-10-23;61;16268;836.3045857
2017-10-24;350;15140;831.5756275
2017-10-25;60;15617;833.7953512
2017-10-26;51;16320;838.1281863
2017-10-27;60;16282;838.4383368
2017-10-28;30;12546;883.1410808
2017-10-29;305;14725;856.5355518
2017-10-30;126;15436;841.891617
2017-10-31;30;14300;835.064965
2017-11-01;64;15349;836.1078898
2017-11-02;43;15824;840.7489257
2017-11-03;144;15712;841.7145494
2017-11-04;60;12534;880.8390777
2017-11-05;173;14946;859.3046969
2017-11-06;45;15695;843.365849
2017-11-07;45;15101;830.5564532
2017-11-08;65;15592;832.4653669
2017-11-09;51;16119;843.0756871
2017-11-10;92;16102;843.1332133
2017-11-11;29;12513;879.400943
2017-11-12;6;15371;857.2176176
2017-11-13;21;16033;842.5962702
2017-11-14;43;15417;829.5990141
2017-11-15;61;15685;834.1579216
2017-11-16;79;16136;844.05559
2017-11-17;34;16349;846.421616
